demon	d_label	d_deleted	d_node	d_parent	test	t_label	t_deleted	start	t_node	t_parent
The new exchange drew instant recognition from an unwelcome quarter	The new exchange drew from an unwelcome quarter	instant recognition	NP-D2-N4	VP-D1-N1	The extrusion unit produces bare and painted custom extrusions for building products and construction industries	The extrusion unit produces for building products and construction industries	bare and painted custom extrusions	4	NP-D2-N4	VP-D1-N1
The scientists have experimented on the tiny neck arteries of rats	The scientists have experimented on the tiny neck arteries	of rats	PP-D5-N1	NP-D4-N1	That structural lack is crucial because investors are the only source of market liquidity	That structural lack is crucial because investors are the only source	of market liquidity	11	PP-D6-N1	NP-D5-N2
Unease is widespread among exchange members	Unease is widespread among	exchange members	NP-D3-N2	PP-D2-N3	Bob Stone stewed over a letter from his manager putting him on probation for insubordination	Bob Stone stewed over	a letter from his manager putting him on probation for insubordination	4	NP-D3-N1	PP-D2-N3
But they are stalwart socialists	But they are	stalwart socialists	NP-D2-N2	VP-D1-N2	An additional benefit is the creation of jobs	An additional benefit is	the creation of jobs	4	NP-D2-N4	VP-D1-N1
Some have raised their cash positions to record levels	Some have raised their cash positions to	record levels	NP-D4-N4	PP-D3-N2	The mask cuts to the quick	The mask cuts to	the quick	4	NP-D3-N1	PP-D2-N3
Prices on the Frankfurt Stock Exchange tumbled in heavy trading	Prices on the Frankfurt Stock Exchange tumbled	in heavy trading	PP-D2-N3	VP-D1-N1	The election was by secret ballot in the General Assembly	The election was	by secret ballot in the General Assembly	3	PP-D2-N3	VP-D1-N1
Next year may see a drop of one percentage point	Next year may see	a drop of one percentage point	NP-D3-N1	VP-D2-N3	Investors and analysts applauded the news	Investors and analysts applauded	the news	4	NP-D2-N4	VP-D1-N1
News of the bid drew sharp criticism from other computer companies and industry observers	News of the bid drew from other computer companies and industry observers	sharp criticism	NP-D2-N3	VP-D1-N1	Names are resigning at an even faster pace this year	Names are resigning at this year	an even faster pace	4	NP-D4-N1	VP-D2-N2
But this is almost an underground activity	But this is	almost an underground activity	NP-D2-N2	VP-D1-N2	He does this in at least three of his solo pieces	He does this in	at least three of his solo pieces	4	NP-D3-N2	VP-D1-N1
Loyalty lags most for utilitarian products like trash bags and batteries	Loyalty lags most for	utilitarian products like trash bags and batteries	NP-D3-N2	PP-D2-N3	Earnings of female workers were unchanged	Earnings of were unchanged	female workers	2	NP-D3-N2	PP-D2-N1
The move had been widely expected	The move had been	widely expected	ADJP-D3-N1	VP-D2-N3	Ads for England are artsy and irreverent	Ads for England are	artsy and irreverent	4	ADJP-D2-N3	VP-D1-N1
The lack of any new cash probably would still leave the banks dissatisfied	The lack probably would still leave the banks dissatisfied	of any new cash	PP-D2-N1	NP-D1-N0	Most of the loans in question are to Third World countries in South America	Most are to Third World countries in South America	of the loans in question	1	PP-D2-N1	NP-D1-N0
Some Wall Street firms monitor for recordkeeping purposes	Some Wall Street firms monitor	for recordkeeping purposes	PP-D2-N5	VP-D1-N1	IRAs were like stepchildren there	IRAs were there	like stepchildren	2	PP-D2-N2	VP-D1-N1
It is a peaceful time in this part of western India	It is a peaceful time in this part	of western India	PP-D4-N1	NP-D3-N4	Peter Gumbel in Moscow contributed to this article	Peter Gumbel contributed to this article	in Moscow	2	PP-D2-N1	NP-D1-N0
One of the two British companies still making hard toilet paper stopped production of it	One of the two British companies stopped production of it	still making hard toilet paper	VP-D4-N1	NP-D3-N2	Declines came because of concern that demand for copper may slow down	Declines came because of concern that demand for copper	may slow down	9	VP-D6-N1	NP-D3-N2
The bikes are unwelcome on trails in national parks	The bikes are unwelcome on trails in	national parks	NP-D5-N2	PP-D4-N1	The completion of the merger agreement follows months of twists and turns	The completion of follows months of twists and turns	the merger agreement	3	NP-D3-N3	PP-D2-N1
He gave no further details	He gave	no further details	NP-D2-N2	VP-D1-N1	Such armor crushes the soldier	Such armor crushes	the soldier	3	NP-D2-N3	VP-D1-N1
Ads for England are artsy and irreverent	Ads for England are	artsy and irreverent	ADJP-D2-N3	VP-D1-N1	But the market turmoil could be partially beneficial for some small businesses	But the market turmoil could be	partially beneficial for some small businesses	6	ADJP-D3-N1	VP-D2-N4
The trip from the test tube was not without snags	The trip from was not without snags	the test tube	NP-D3-N3	PP-D2-N1	The problem is not that the Fed is too unresponsive to the public interest	The problem is not that the Fed is too unresponsive to	the public interest	11	NP-D7-N3	PP-D6-N1
The economic ideas in the document are much bolder than current policies	The economic ideas in are much bolder than current policies	the document	NP-D3-N4	PP-D2-N1	The prices of most livestock futures contracts had dropped sharply Monday	The prices of had dropped sharply Monday	most livestock futures contracts	3	NP-D3-N3	PP-D2-N1
Simpson is an auto parts maker	Simpson is	an auto parts maker	NP-D2-N2	VP-D1-N1	We think that the ratings revision is unfortunate but not unexpected	We think that is unfortunate but not unexpected	the ratings revision	3	NP-D4-N0	VP-D1-N1
But such a combination also presents great risks	But such a combination also presents	great risks	NP-D2-N5	VP-D1-N3	Bonds received a bigger boost later in the day when stock prices moved broadly lower	Bonds received later in the day when stock prices moved broadly lower	a bigger boost	2	NP-D2-N2	VP-D1-N1
But other rake makers have their doubts	But other rake makers have	their doubts	NP-D2-N4	VP-D1-N2	Most of us know a sucker	Most of us know	a sucker	4	NP-D2-N3	VP-D1-N1
One ad features a huge robot carrying a voluptuous woman in a faint	One ad features a huge robot carrying a voluptuous woman in	a faint	NP-D6-N4	PP-D5-N1	Bond prices were little changed in sluggish activity	Bond prices were little changed in	sluggish activity	6	NP-D3-N3	PP-D2-N4
But that was all of three months ago	But that was months ago	all of three	QP-D4-N0	NP-D3-N0	Economists expected twice as large an increase	Economists expected an increase	twice as large	2	QP-D3-N0	NP-D2-N2
The bikes are unwelcome on trails in national parks	The bikes are unwelcome on trails	in national parks	PP-D4-N1	NP-D3-N2	That announcement left union officials in Van Nuys and Oklahoma City uncertain about their futures	That announcement left union officials uncertain about their futures	in Van Nuys and Oklahoma City	5	PP-D4-N1	NP-D3-N0
Brand loyalty was stronger among older consumers in the Journal survey	Brand loyalty was stronger among in the Journal survey	older consumers	NP-D3-N2	PP-D2-N4	Confectionery products sales also had strong growth in the quarter	Confectionery products sales also had strong growth in	the quarter	8	NP-D3-N3	PP-D2-N6
He was back in jail over the summer on shoplifting charges	He was back in jail over the summer on	shoplifting charges	NP-D3-N5	PP-D2-N4	We were coming down straight into their canal	We were coming down straight into	their canal	6	NP-D4-N3	PP-D3-N2
That total would be important for Drexel	That total would be	important for Drexel	ADJP-D3-N1	VP-D2-N3	None of these chief executives were available for comment	None of these chief executives were	available for comment	6	ADJP-D2-N3	VP-D1-N1
Other analysts are nearly as pessimistic	Other analysts are	nearly as pessimistic	PP-D2-N3	VP-D1-N1	Cadillac may be on to something	Cadillac may be	on to something	3	PP-D3-N1	VP-D2-N2
We are the producers of that movie	We are	the producers of that movie	NP-D2-N2	VP-D1-N1	They used their judgment	They used	their judgment	2	NP-D2-N2	VP-D1-N1
Not that oil suddenly is a sure thing again	Not that oil suddenly is again	a sure thing	NP-D3-N3	VP-D2-N2	It is a bureaucratic country	It is	a bureaucratic country	2	NP-D2-N2	VP-D1-N1
The board expands to seven members	The board expands to	seven members	NP-D3-N1	PP-D2-N3	Chandler might have been predicting the course of his own career	Chandler might have been predicting the course of	his own career	8	NP-D7-N3	PP-D6-N1
The company is active in office and residential development in New York	The company is active	in office and residential development in New York	PP-D2-N4	VP-D1-N1	Recession fears are springing up again among investors	Recession fears are springing up again	among investors	6	PP-D3-N3	VP-D2-N3
There was no cost estimate for the second phase	There was no cost estimate for	the second phase	NP-D4-N4	PP-D3-N1	Further consolidations in the industry could follow	Further consolidations in could follow	the industry	3	NP-D3-N3	PP-D2-N1
Those two groups have recently been leading the list of stocks setting new highs	Those two groups have recently been leading the list of stocks	setting new highs	VP-D7-N1	NP-D6-N3	The relative calm in Tokyo proved little comfort to markets opening up in Europe	The relative calm in Tokyo proved little comfort to markets	opening up in Europe	10	VP-D5-N1	NP-D4-N4
They did themselves even more good	They did themselves	even more good	NP-D2-N3	VP-D1-N1	The extrusion unit produces bare and painted custom extrusions for building products and construction industries	The extrusion unit produces for building products and construction industries	bare and painted custom extrusions	4	NP-D2-N4	VP-D1-N1
But it could be much worse	But it could be	much worse	ADJP-D3-N1	VP-D2-N2	Merck is one of the most important stocks in the Major Market Index	Merck is one of the stocks in the Major Market Index	most important	5	ADJP-D6-N1	VP-D1-N1
The charges said that one worker suffered permanent brain damage from mercury exposure	The charges said that one worker suffered permanent brain damage from	mercury exposure	NP-D6-N4	PP-D5-N4	The change prompted the rise of discount brokers and a reduction in securities research firms	The change prompted the rise of and a reduction in securities research firms	discount brokers	6	NP-D5-N3	PP-D4-N1
Trading volume was only modestly higher than normal	Trading volume was	only modestly higher than normal	ADJP-D2-N3	VP-D1-N1	The market is still very touchy about rumors and news on pending takeovers	The market is still	very touchy about rumors and news on pending takeovers	4	ADJP-D2-N4	VP-D1-N1
And not just for the players	And not just	for the players	PP-D1-N3	FRAG-D0-N0	In Washington and on Wall Street		In Washington and on Wall Street	0	PP-D1-N0	FRAG-D0-N0
The remainder of the house leans precariously against a sturdy oak tree	The remainder leans precariously against a sturdy oak tree	of the house	PP-D2-N1	NP-D1-N0	Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	Its previous proposal had conditioned rate limits	on Seabrook operations and other contingencies	7	PP-D4-N1	NP-D3-N1
Some lagging competitors even may leave the personal computer business altogether	Some lagging competitors even may leave altogether	the personal computer business	NP-D3-N1	VP-D2-N5	Fund selling also picked up at that point	Fund selling also picked up at	that point	6	NP-D3-N2	VP-D1-N2
The interviews took place two years ago	The interviews took place ago	two years	NP-D3-N1	ADVP-D2-N4	But that was all of three months ago	But that was ago	all of three months	3	NP-D3-N0	ADVP-D2-N2
Prices on the Frankfurt Stock Exchange tumbled in heavy trading	Prices tumbled in heavy trading	on the Frankfurt Stock Exchange	PP-D2-N1	NP-D1-N0	He had been president of the international operations	He had been president	of the international operations	4	PP-D4-N1	NP-D3-N1
Industries in both countries have requested a speedup of tariff cuts on hundreds of products	Industries in both countries have requested	a speedup of tariff cuts on hundreds of products	NP-D3-N4	VP-D2-N3	Some nights he slept under his desk	Some nights he slept under	his desk	5	NP-D3-N1	VP-D1-N2
Continental Air replaced its top executive for the sixth time in as many years	Continental Air replaced its top executive for the sixth time in years	as many	ADJP-D6-N0	NP-D5-N4	Other network applications have very different goals	Other network applications have goals	very different	4	ADJP-D3-N0	NP-D2-N4
But funds generally are better prepared this time around	But funds generally are this time around	better prepared	ADJP-D2-N3	VP-D1-N3	But the problem clearly is widespread and persistent	But the problem clearly is	widespread and persistent	5	ADJP-D2-N4	VP-D1-N3
Bill and Bonnie Quinlan are among the first beneficiaries of the new findings	Bill and Bonnie Quinlan are among the first beneficiaries of	the new findings	NP-D5-N4	PP-D4-N1	They speak volumes about the state of our society at a given moment	They speak volumes about	the state of our society at a given moment	4	NP-D3-N2	PP-D2-N3
Two election commission members opposed the matching plans	Two election commission members opposed	the matching plans	NP-D2-N5	VP-D1-N1	Scientists also are exploring memory and perception with the new machines	Scientists also are exploring with the new machines	memory and perception	4	NP-D3-N1	VP-D2-N3
None of the officials was available for comment	None of the officials was	available for comment	ADJP-D2-N3	VP-D1-N1	The prisons are too crowded	The prisons are	too crowded	3	ADJP-D2-N3	VP-D1-N1
It was down a little	It was	down a little	ADVP-D2-N2	VP-D1-N1	Some industry groups consistently weather the storm better than others	Some industry groups consistently weather the storm	better than others	7	ADVP-D2-N6	VP-D1-N2
Estimated volume was five million ounces	Estimated volume was ounces	five million	QP-D3-N0	NP-D2-N3	Four of those insiders sold more than half their holdings	Four of those insiders sold their holdings	more than half	5	QP-D3-N3	NP-D2-N3
The most pressing problem was the suspension of options trading	The problem was the suspension of options trading	most pressing	ADJP-D2-N1	NP-D1-N0	The Panamanian affair is only the tip of a more alarming iceberg	The Panamanian affair is only the tip of a iceberg	more alarming	9	ADJP-D5-N1	NP-D4-N4
Trading volume was only modestly higher than normal	Trading volume was	only modestly higher than normal	ADJP-D2-N3	VP-D1-N1	The figures are at seasonally adjusted annual rates in trillions of dollars	The figures are at annual rates in trillions of dollars	seasonally adjusted	4	ADJP-D5-N0	VP-D1-N1
Most earn high ratings from credit agencies	Most earn high ratings from	credit agencies	NP-D4-N3	PP-D3-N1	And transfer control of much of it to Capitol Hill	And transfer control of to Capitol Hill	much of it	4	NP-D4-N2	PP-D3-N1
The deal requires regulatory and shareholder approval	The deal requires	regulatory and shareholder approval	NP-D2-N3	VP-D1-N1	Such armor crushes the soldier	Such armor crushes	the soldier	3	NP-D2-N3	VP-D1-N1
But its surprising progress so far holds important lessons for companies in trouble	But its surprising progress so far holds important lessons	for companies in trouble	PP-D3-N1	NP-D2-N6	Most of the telephone problems in the immediate aftermath stemmed from congestion	Most stemmed from congestion	of the telephone problems in the immediate aftermath	1	PP-D2-N1	NP-D1-N0
South African gold stocks closed moderately lower	gold stocks closed moderately lower	South African	ADJP-D2-N0	NP-D1-N0	This has led them in a fruitless and destructive policy circle	This has led them in a policy circle	fruitless and destructive	6	ADJP-D5-N1	NP-D4-N2
Stock prices rallied in active trading	Stock prices rallied in	active trading	NP-D3-N1	PP-D2-N3	The four lawyers climbed out from under a table	The four lawyers climbed out from under	a table	7	NP-D5-N1	PP-D4-N1
Sonja Steptoe and David Wilson contributed to this article	Sonja Steptoe and David Wilson contributed to	this article	NP-D3-N5	PP-D2-N4	It added that no discussions about such a sale are under way	It added that no discussions about are under way	such a sale	6	NP-D6-N3	PP-D5-N1
Whittle has met some resistance	Whittle has met	some resistance	NP-D3-N1	VP-D2-N2	Miss Brady is deputy director of the Russian Research Foundation in London	Miss Brady is	deputy director of the Russian Research Foundation in London	3	NP-D2-N3	VP-D1-N1
One man wrapped several diamonds in the knot of his tie	One man wrapped several diamonds in the knot	of his tie	PP-D4-N1	NP-D3-N3	This could mean diminished issuance of derivative mortgage issues during the next few weeks	This could mean diminished issuance during the next few weeks	of derivative mortgage issues	5	PP-D4-N1	NP-D3-N1
An additional benefit is the creation of jobs	An additional benefit is the creation	of jobs	PP-D3-N1	NP-D2-N4	She was the child of relative privilege	She was the child	of relative privilege	4	PP-D3-N1	NP-D2-N2
Businessmen took their cue from the engineers	Businessmen took their cue	from the engineers	PP-D2-N3	VP-D1-N1	The most pressing problem was the suspension of options trading	The most pressing problem was the suspension	of options trading	7	PP-D3-N3	VP-D1-N1
That could shove a weak economy into recession	That could shove into recession	a weak economy	NP-D3-N1	VP-D2-N2	Bill and Bonnie Quinlan are among the first beneficiaries of the new findings	Bill and Bonnie Quinlan are among	the first beneficiaries of the new findings	6	NP-D3-N1	VP-D1-N1
He confers big trading commissions on Wall Street firms	He confers on Wall Street firms	big trading commissions	NP-D2-N2	VP-D1-N1	But the new lens became the eye of a storm	But the new lens became	the eye of a storm	5	NP-D2-N4	VP-D1-N2
The film makers have couched this offensive idea in pretty packaging	The film makers have couched in pretty packaging	this offensive idea	NP-D3-N1	VP-D2-N4	Rumors of Soviet interest also pushed up the prices of soybean futures contracts	Rumors of Soviet interest also pushed up	the prices of soybean futures contracts	7	NP-D2-N5	VP-D1-N2
Professionals dominated municipal trading throughout the session	Professionals dominated municipal trading	throughout the session	PP-D2-N3	VP-D1-N1	Portrait studios have also latched onto the trend	Portrait studios have also latched	onto the trend	5	PP-D3-N2	VP-D2-N4
It added that no discussions about such a sale are under way	It added that no discussions are under way	about such a sale	PP-D5-N1	NP-D4-N0	Los Angeles will be the site of a new entertainment division for the ad agency	Los Angeles will be the site	of a new entertainment division for the ad agency	6	PP-D4-N1	NP-D3-N1
The bank is now aggressively marketing retail services at its domestic branches	The bank is now aggressively marketing retail services	at its domestic branches	PP-D3-N4	VP-D2-N4	The team then proposed modifications in their work process to management	The team then proposed modifications to management	in their work process	5	PP-D3-N1	VP-D1-N2
They note that stocks experienced volatile swings long before futures	They note that stocks experienced long before futures	volatile swings	NP-D5-N2	VP-D4-N1	Both figures were record highs	Both figures were	record highs	3	NP-D2-N3	VP-D1-N1
It is a peaceful time in this part of western India	It is a peaceful time in this part of	western India	NP-D5-N3	PP-D4-N1	Japan is a major target for the Soviets	Japan is a major target for	the Soviets	6	NP-D4-N4	PP-D3-N1
Reform starts in the Pentagon	Reform starts	in the Pentagon	PP-D2-N2	VP-D1-N1	And his outlook improved after successful cataract surgery in August	And his outlook improved	after successful cataract surgery in August	4	PP-D2-N3	VP-D1-N2
Deal stocks led the market down as they absorbed the heaviest losses	Deal stocks led the market down as they absorbed	the heaviest losses	NP-D5-N2	VP-D4-N1	Some business analysts blame the problem on tough competition in the insurance market	Some business analysts blame on tough competition in the insurance market	the problem	4	NP-D2-N4	VP-D1-N1
The charge on loans to depository institutions by the New York Federal Reserve Bank	The charge on by the New York Federal Reserve Bank	loans to depository institutions	NP-D2-N3	PP-D1-N1	At least half that growth will have come in the past three years alone	At least half that growth will have come in	the past three years alone	9	NP-D5-N1	PP-D4-N1
Confectionery products sales also had strong growth in the quarter	Confectionery products sales also had strong growth	in the quarter	PP-D2-N6	VP-D1-N2	Inflation is at record levels	Inflation is	at record levels	2	PP-D2-N2	VP-D1-N1
The guide scoops into a pail and puts a frantically wiggling croaker on the hook	The guide scoops into and puts a frantically wiggling croaker on the hook	a pail	NP-D4-N1	PP-D3-N1	West German bond prices ended lower after a day of aimless trading	West German bond prices ended lower after	a day of aimless trading	7	NP-D3-N4	PP-D2-N5
But the deal fell apart last week for lack of financing	But the deal fell apart last week	for lack of financing	PP-D2-N5	VP-D1-N2	Each has an equal vote at the monthly meetings	Each has an equal vote	at the monthly meetings	5	PP-D2-N3	VP-D1-N1
Other fund managers were similarly sanguine	Other fund managers were	similarly sanguine	ADJP-D2-N4	VP-D1-N1	The market is still very touchy about rumors and news on pending takeovers	The market is still	very touchy about rumors and news on pending takeovers	4	ADJP-D2-N4	VP-D1-N1
Most earn high ratings from credit agencies	Most earn high ratings from	credit agencies	NP-D4-N3	PP-D3-N1	Analysts had mixed responses to the results	Analysts had mixed responses to	the results	5	NP-D4-N3	PP-D3-N1
These securities are attractive to Japanese investors for three reasons	These securities are for three reasons	attractive to Japanese investors	ADJP-D2-N3	VP-D1-N1	This untried concept would expose these firms to potentially astronomical punitive damages	This untried concept would expose these firms to punitive damages	potentially astronomical	8	ADJP-D5-N0	VP-D2-N4
The agreement is subject to completion of a definitive amendment and appropriate approvals	The agreement is subject	to completion of a definitive amendment and appropriate approvals	PP-D3-N1	ADJP-D2-N3	The centers normally are closed through the weekend	The centers normally are closed	through the weekend	5	PP-D3-N1	ADJP-D2-N4
Sales of parts for cars and construction vehicles rose	Sales rose	of parts for cars and construction vehicles	PP-D2-N1	NP-D1-N0	Some equipment going to work is almost new	Some equipment going is almost new	to work	3	PP-D3-N3	NP-D1-N0
Such animosity could prove pivotal in the union vote	Such animosity could prove pivotal in	the union vote	NP-D4-N2	PP-D3-N2	Futures prices showed modest changes in light trading volume	Futures prices showed modest changes in	light trading volume	6	NP-D3-N3	PP-D2-N4
The Orange Workers are just putting this preaching into practice	The Orange Workers are just putting this preaching	into practice	PP-D3-N3	VP-D2-N5	The company is active in office and residential development in New York	The company is active	in office and residential development in New York	4	PP-D2-N4	VP-D1-N1
The House version would raise slightly more	The House version would raise	slightly more	NP-D3-N1	VP-D2-N4	The coating segment also posted higher sales particularly in North America and Europe	The coating segment also posted particularly in North America and Europe	higher sales	5	NP-D2-N5	VP-D1-N2
And not just for the players	And not just	for the players	PP-D1-N3	FRAG-D0-N0	Closed yesterday due to power difficulties	Closed yesterday	due to power difficulties	2	PP-D1-N2	FRAG-D0-N0
It also lowered some air fares	It also lowered	some air fares	NP-D2-N3	VP-D1-N2	We were out of the box	We were out of	the box	4	NP-D4-N1	VP-D1-N1
There were many more	There were	many more	NP-D2-N2	VP-D1-N1	Senator Byrd is chairman of the Appropriations Committee	Senator Byrd is	chairman of the Appropriations Committee	3	NP-D2-N3	VP-D1-N1
The British government also strongly opposes the charter in its current form	The British government also strongly opposes	the charter in its current form	NP-D2-N6	VP-D1-N2	The executive branch bears the first responsibility for timidity	The executive branch bears	the first responsibility for timidity	4	NP-D2-N4	VP-D1-N1
We now know that the words were not always his own	We now know that the words were not always	his own	NP-D5-N5	VP-D4-N1	Silicon Valley heaved a sigh of relief yesterday	Silicon Valley heaved yesterday	a sigh of relief	3	NP-D2-N3	VP-D1-N1
Recession fears are springing up again among investors	Recession fears are springing up again	among investors	PP-D3-N3	VP-D2-N3	Another analyst noted that Cuba has been deferring shipments in recent years	Another analyst noted that Cuba has been deferring shipments	in recent years	9	PP-D7-N2	VP-D6-N1
Nissan created its quake ad in a weekend	Nissan created its quake ad in	a weekend	NP-D3-N4	PP-D2-N3	The market is still very touchy about rumors and news on pending takeovers	The market is still very touchy about	rumors and news on pending takeovers	7	NP-D4-N1	PP-D3-N3
But the firm also tracks smaller technology companies as a subset of the larger group	But the firm also tracks smaller technology companies as	a subset of the larger group	NP-D3-N4	PP-D2-N5	That brought a chain reaction in the industry	That brought a chain reaction in	the industry	6	NP-D4-N4	PP-D3-N1
Expansion plans also include acquisitions in growing foreign markets	Expansion plans also include acquisitions in	growing foreign markets	NP-D4-N2	PP-D3-N1	Treasury prices ended mixed in light trading	Treasury prices ended mixed in	light trading	5	NP-D3-N2	PP-D2-N4
The historical profession will survive these decisions	The historical profession will survive	these decisions	NP-D3-N1	VP-D2-N4	He cut her hair	He cut	her hair	2	NP-D2-N2	VP-D1-N1
Treasury bonds ended slightly higher in light trading	Treasury bonds ended slightly higher in	light trading	NP-D3-N3	PP-D2-N4	He has too readily swallowed the case for the activist law school culture	He has too readily swallowed the case for	the activist law school culture	8	NP-D5-N3	PP-D4-N3
The plan would impose a brief freeze on physician fees next year	The plan would impose a brief freeze on physician fees	next year	NP-D3-N3	VP-D2-N3	It has sold billions of dollars of other assets and has more on the block	It has sold and has more on the block	billions of dollars of other assets	3	NP-D4-N1	VP-D3-N1
Borrowed shares on the Amex rose to another record	Borrowed shares on the Amex rose	to another record	PP-D2-N3	VP-D1-N1	Rumors of Soviet interest also pushed up the prices of soybean futures contracts	Rumors of Soviet interest also pushed up the prices	of soybean futures contracts	9	PP-D3-N5	VP-D1-N2
The red granite mausoleum draws thousands of visitors daily	The red granite mausoleum draws daily	thousands of visitors	NP-D2-N5	VP-D1-N1	Four of those insiders sold more than half their holdings	Four of those insiders sold	more than half their holdings	5	NP-D2-N3	VP-D1-N1
They currently have large orders for cargo planes	They currently have large orders for	cargo planes	NP-D4-N3	PP-D3-N1	He confers big trading commissions on Wall Street firms	He confers big trading commissions on	Wall Street firms	6	NP-D3-N4	PP-D2-N3
Shareholders must approve the merger at general meetings of the two companies in late November	Shareholders must approve at general meetings of the two companies in late November	the merger	NP-D3-N1	VP-D2-N2	Both issues are among the most popular with individual investors	Both issues are among	the most popular with individual investors	4	NP-D3-N1	VP-D1-N1
But junk bonds took more hits	But junk bonds took	more hits	NP-D2-N3	VP-D1-N2	The trend is making advocates of the tax cut less optimistic about success	The trend is making less optimistic about success	advocates of the tax cut	4	NP-D4-N0	VP-D2-N3
Solidarity wants it from the West	Solidarity wants it from	the West	NP-D3-N2	PP-D2-N3	Ideologues on the other side of the border can also slow the process	Ideologues on can also slow the process	the other side of the border	2	NP-D3-N2	PP-D2-N1
But he has been getting heat from all sides over program trading	But he has been getting heat from all sides over	program trading	NP-D5-N4	PP-D4-N3	Closed yesterday due to power difficulties	Closed yesterday due to	power difficulties	4	NP-D2-N4	PP-D1-N2
Two workers died and six remain in the hospital	Two workers died and six remain in	the hospital	NP-D4-N1	PP-D3-N5	The dollar posted gains in quiet trading as concerns about equities abated	The dollar posted gains in as concerns about equities abated	quiet trading	5	NP-D3-N2	PP-D2-N4
They are awaiting an arbitration proceeding	They are awaiting	an arbitration proceeding	NP-D3-N1	VP-D2-N2	Columbia announced the results after the close of the stock market	Columbia announced after the close of the stock market	the results	2	NP-D2-N2	VP-D1-N1
Many interpret the delay as an indication that regulators are skeptical about the proposal	Many interpret the delay as an indication that regulators are	skeptical about the proposal	ADJP-D7-N2	VP-D6-N1	They promised yet more for really good stuff	They promised yet more for stuff	really good	5	ADJP-D5-N0	VP-D1-N1
Alan Murray contributed to this article	Alan Murray contributed	to this article	PP-D2-N3	VP-D1-N1	Both Coors and Stroh have recently been ceding market share to Miller and Anheuser	Both Coors and Stroh have recently been ceding market share	to Miller and Anheuser	10	PP-D4-N2	VP-D3-N2
He confers big trading commissions on Wall Street firms	He confers on Wall Street firms	big trading commissions	NP-D2-N2	VP-D1-N1	But industry observers still questioned whether Georgia Pacific will ultimately prevail	But industry observers still questioned whether will ultimately prevail	Georgia Pacific	6	NP-D4-N0	VP-D1-N3
Those current holders would also receive minority interests in the new company	Those current holders would also receive minority interests in	the new company	NP-D5-N3	PP-D4-N1	But lawmakers of both parties agree that the streamlining was temporary	But lawmakers of agree that the streamlining was temporary	both parties	3	NP-D3-N2	PP-D2-N1
Prices on the Frankfurt Stock Exchange tumbled in heavy trading	Prices tumbled in heavy trading	on the Frankfurt Stock Exchange	PP-D2-N1	NP-D1-N0	The bill would authorize courts to order the licenses as a condition of probation	The bill would authorize courts to order the licenses as a condition	of probation	12	PP-D8-N1	NP-D7-N3
Bob Stone stewed over a letter from his manager putting him on probation for insubordination	Bob Stone stewed over a letter from his manager putting him on probation	for insubordination	PP-D5-N6	VP-D4-N2	They could still panic and bail out of the market	They could still panic and bail out	of the market	7	PP-D4-N3	VP-D3-N3
The embryo had progressed only to a clump of eight identical cells	The embryo had progressed only to a clump	of eight identical cells	PP-D5-N2	NP-D4-N2	The key here is the ambition of state Attorney General John Van de Kamp	The key here is the ambition	of state Attorney General John Van de Kamp	6	PP-D3-N1	NP-D2-N4
Most recently he had been executive vice president for planning and finance at Texas Air	Most recently he had been executive vice president at Texas Air	for planning and finance	PP-D4-N1	NP-D3-N1	The pressure for change will rise with costs	The pressure will rise with costs	for change	2	PP-D2-N1	NP-D1-N0
And he questions the White House dedication	And he questions	the White House dedication	NP-D2-N2	VP-D1-N2	Bond prices were little changed in sluggish activity	Bond prices were little changed in	sluggish activity	6	NP-D3-N3	VP-D1-N1
Sales of parts for cars and construction vehicles rose	Sales of parts for rose	cars and construction vehicles	NP-D5-N2	PP-D4-N1	The main argument for growth stocks is their usually superior performance in a slowing economy	The main argument for is their usually superior performance in a slowing economy	growth stocks	4	NP-D3-N4	PP-D2-N1
It was down a little	It was down	a little	NP-D3-N1	ADVP-D2-N2	Merchant banks were stronger across the board	Merchant banks were stronger across	the board	5	NP-D3-N2	ADVP-D2-N4
This is New York City	This is	New York City	NP-D2-N2	VP-D1-N1	The American Stock Exchange listed shares of two companies	The American Stock Exchange listed	shares of two companies	5	NP-D2-N5	VP-D1-N1
He is warm and polished before a Puerto Rican Congress in Asbury Park	He is warm and polished before	a Puerto Rican Congress in Asbury Park	NP-D3-N4	PP-D2-N3	The lawyers are now in charge of our national security	The lawyers are now in	charge of our national security	5	NP-D3-N2	PP-D2-N4
The company also faces delisting by the National Association of Securities Dealers	The company also faces delisting by the National Association of	Securities Dealers	NP-D6-N4	PP-D5-N1	The company can go about its business	The company can go about	its business	5	NP-D4-N1	PP-D3-N1
The ambitious Warsaw project still awaits approval by city officials	The ambitious Warsaw project still awaits approval	by city officials	PP-D3-N1	NP-D2-N6	This leads to a very special sense of urgency	This leads to a very special sense	of urgency	7	PP-D4-N1	NP-D3-N1
More carefully targeted intervention might actually reduce the need for government action	targeted intervention might actually reduce the need for government action	More carefully	ADVP-D3-N0	ADJP-D2-N0	Our international efforts were far greater than ever before	Our international efforts were far greater than	ever before	7	ADVP-D4-N1	ADJP-D2-N4
