demon	d_deleted	test	t_deleted	start
Rolled copper product sales were major contributors to overall sales growth	major contributors to overall sales growth	It also would have reduced mandatory overtime	mandatory overtime	5
Estimated volume was five million ounces	five million ounces	The leader in real estate brand names is developer Ara Hovnanian	developer Ara Hovnanian	8
Some current rates exceed those on CDs	those on CDs	The association between the two companies stretches back thirty years to a friendship between television producer Mark Goodson and Ingersoll founder Ralph Ingersoll	thirty years	8
The bill also elevates even minor rule infractions to felonies and provides for recovery of punitive damages in civil lawsuits and arbitration cases without any showing of willful misconduct	even minor rule infractions	Silicon Valley heaved a sigh of relief yesterday	a sigh of relief	3
Only the bravest spirits survive such roller coasters	such roller coasters	The laws take effect next month	next month	4
The extrusion unit produces bare and painted custom extrusions for building products and construction industries	bare and painted custom extrusions	Mubarak held reconciliation talks with Gadhafi at the Egyptian resort of Mersa Metruh	reconciliation talks	2
Cost is a key consideration because of the global sweep of the financial markets	a key consideration	But there are no scientific data on this question	no scientific data on this question	3
The challengers will have a big price advantage	a big price advantage	The revival of the real estate mortgage investment conduit market reflected the relative calm in the mortgage market after two days of volatile trading	the relative calm in the mortgage market after two days of volatile trading	11
That could shove a weak economy into recession	a weak economy	Radio programs and books have followed the daily television show	the daily television show	6
Big withdrawals from the junk funds have continued this month	this month	The Celtona operations would become part of those ventures	part of those ventures	5
But in this case the needle has a very sharp point	a very sharp point	Right away you notice the following things about a Philip Glass concert	the following things about a Philip Glass concert	4
Mervin Lung remains chairman and chief executive officer	chairman and chief executive officer	The company also faces delisting by the National Association of Securities Dealers	delisting by the National Association of Securities Dealers	4
Most recently he had been executive vice president for planning and finance at Texas Air	executive vice president for planning and finance at Texas Air	He sandwiched his praise of constitutional meat between large loaves of bilious commentary	his praise of constitutional meat	2
She and her husband started a small printing business and need the car for work as well as for weekend jaunts	a small printing business	Their problem is one of inefficiency of an industrial economy	one of inefficiency of an industrial economy	3
Bonds received a bigger boost later in the day when stock prices moved broadly lower	a bigger boost	He divorced his first wife three years ago and married the daughter of his court clerk	his first wife	2
But the two groups represent a further step in defensiveness	a further step in defensiveness	The electronics industry is closely following the Dellums bill	the Dellums bill	6
Unilever already has experienced some disappointment	some disappointment	Eventually little French farmers and their little French farmwives came out of their stone houses and put their hands above their tiny eyes and squinted at us	their hands	17
You already know the answer	the answer	Both have become confidants of President Bush	confidants of President Bush	3
The chimney is a pile of bricks on the front lawn	a pile of bricks on the front lawn	The airline also named Mickey Foret as president	Mickey Foret	4
Liquidity is not a service	a service	Many fund managers have boosted their cash levels in recent weeks	their cash levels	5
Drug companies lost a major liability case	a major liability case	But violation could bring substantial tax penalties to both employer and employees	substantial tax penalties	4
The local American Legion color guard led the way	the way	New Jersey Bell awaits state clearance	state clearance	4
The British conglomerate cited the recent turmoil in financial markets	the recent turmoil in financial markets	We put some orders together	some orders	2
Preparedness involves more than flashlights and fire alarms these days	more than flashlights and fire alarms	The plan would impose a brief freeze on physician fees next year	a brief freeze	4
It may experience an upswing or two in between	an upswing or two	The bill also elevates even minor rule infractions to felonies and provides for recovery of punitive damages in civil lawsuits and arbitration cases without any showing of willful misconduct	even minor rule infractions	4
All along they have been noting the tremors and pointing out the underlying realities	the tremors	The cuckoo prefers the nests of other birds and heaves out their eggs	the nests of other birds	3
The town is home to the Mountain Bike Hall of Fame and it hosts the annual Fat Tire Bike Week	home to the Mountain Bike Hall of Fame	Institutional buyers were the main force pushing blue chips higher	the main force pushing blue chips higher	3
He is negotiating a rich book contract to boot	a rich book contract	The Organization of Petroleum Exporting Countries increased its production ceiling for the fourth quarter based on projections of robust demand	its production ceiling for the fourth quarter	7
The mining zone has thus remained one of the most desolate places in Africa	one of the most desolate places in Africa	Judge Merhige will make the appointment	the appointment	4
Big financial stocks carried the day	the day	Soviet companies would face fewer obstacles for exports and could even invest their hard currency abroad	fewer obstacles for exports	4
Both are mining concerns	mining concerns	But the Rockefeller investment is its largest	its largest	5
Shvartzer is a derogatory Yiddish word for a black person	a derogatory Yiddish word for a black person	Lawmakers in both houses support the higher level	the higher level	5
The Marina rescue center offered a very San Franciscan response to the disaster	a very San Franciscan response to the disaster	The association said that lack of airport and air space capacity is the biggest problem facing the airline industry	the biggest problem facing the airline industry	12
He divorced his first wife three years ago and married the daughter of his court clerk	his first wife	But it may have a good listener in Washington	a good listener	4
She has lots of opinions	lots of opinions	An official linked the gain essentially to higher prices for beef and pork	the gain	3
The Navy is ordering displays for its Aegis cruisers and the Army wants smaller versions for its Abrams battle tanks	smaller versions for its Abrams battle tanks	The pilots argued that this triggered a pay raise for them	a pay raise for them	6
Wilfred closed its Massachusetts schools earlier this year	its Massachusetts schools	Risk is also a function of time	a function of time	3
No one in his right mind actually believes that we all have an equal academic potential	an equal academic potential	The collapse of the span has provoked surprise and anger among state officials	surprise and anger among state officials	7
The chimney is a pile of bricks on the front lawn	a pile of bricks on the front lawn	Conference committees are breeding grounds for mischief	breeding grounds for mischief	3
And they are a very odd team in any case	a very odd team	That could shove a weak economy into recession	a weak economy	3
Professionals dominated municipal trading throughout the session	municipal trading	Nissan created its quake ad in a weekend	its quake ad	2
The recent sharp stock market decline exacerbated those concerns	those concerns	Every major maker offers computers with color displays	computers with color displays	4
Both Coors and Stroh have recently been ceding market share to Miller and Anheuser	market share	The entire opera is her dream	her dream	4
The business includes Beefeater gin	Beefeater gin	An official linked the gain essentially to higher prices for beef and pork	the gain	3
He had been president of the international operations	president of the international operations	Higher earnings helped some issues	some issues	3
The Ways and Means Committee will hold a hearing on the bill next Tuesday	a hearing on the bill	Americans place native or native speakers in charge of subsidiaries overseas	native or native speakers	2
The American Stock Exchange listed shares of two companies	shares of two companies	One ad features a huge robot carrying a voluptuous woman in a faint	a huge robot carrying a voluptuous woman in a faint	3
The bill also elevates even minor rule infractions to felonies and provides for recovery of punitive damages in civil lawsuits and arbitration cases without any showing of willful misconduct	even minor rule infractions	But there are no scientific data on this question	no scientific data on this question	3
The guide scoops into a pail and puts a frantically wiggling croaker on the hook	a frantically wiggling croaker	The excess supply pushed gasoline prices down in that period	gasoline prices	4
Both have become confidants of President Bush	confidants of President Bush	He was only the sixth federal judge ever ousted from office after an impeachment trial	only the sixth federal judge	2
But there are grounds for complaint	grounds for complaint	The revival of the real estate mortgage investment conduit market reflected the relative calm in the mortgage market after two days of volatile trading	the relative calm in the mortgage market after two days of volatile trading	11
But another big problem has been the aging of baby boomers	the aging of baby boomers	Digital is promising a new approach	a new approach	3
One man wrapped several diamonds in the knot of his tie	several diamonds	Blue chips led the march up in heavy trading	the march up	3
Tenneco Credit is a unit of Tenneco Inc	a unit of Tenneco Inc	There was tremendous public enthusiasm for stock mutual funds	tremendous public enthusiasm for stock mutual funds	2
One apparent side effect is a minor increase in a brain hormone	a minor increase in a brain hormone	He previously held similar responsibilities	similar responsibilities	3
Connaught is a biotechnology research and vaccine manufacturing concern	a biotechnology research and vaccine manufacturing concern	The collapse of the span has provoked surprise and anger among state officials	surprise and anger among state officials	7
But the lovebirds have a conflict	a conflict	Kyle manufactures electronic components	electronic components	2
It made my shoelaces dance with terror	my shoelaces	Baskets of roses and potted palms adorned his bench	his bench	7
Some business analysts blame the problem on tough competition in the insurance market	the problem	The robberies also have set off a controversy involving the airlines	a controversy involving the airlines	6
Announced and anticipated purchases from foreign countries are also supporting futures prices	futures prices	One apparent side effect is a minor increase in a brain hormone	a minor increase in a brain hormone	5
He has good control	good control	But Chairman Gonzalez is a genuine maverick	a genuine maverick	4
First Interstate made the move under pressure from regulators	the move	That structural lack is crucial because investors are the only source of market liquidity	the only source of market liquidity	8
There will be recreation and movie rooms	recreation and movie rooms	News of the bid drew sharp criticism from other computer companies and industry observers	sharp criticism	5
Simpson is an auto parts maker	an auto parts maker	This untried concept would expose these firms to potentially astronomical punitive damages	these firms	5
The legal fight was the subject of a Wall Street Journal story yesterday	the subject of a Wall Street Journal story yesterday	Their discomfort is a healthy sign for the rest of us	a healthy sign for the rest of us	3
He expects the price for that product to rise even more next year	next year	New Jersey Bell awaits state clearance	state clearance	4
The company also maintains rechargeable flashlights in offices and changes its standby supply of drinking water every three months	rechargeable flashlights	Americans place native or native speakers in charge of subsidiaries overseas	native or native speakers	2
They will be the next hot magazines	the next hot magazines	Sears is also stepping up its television ads and changing its message	its television ads	5
The House Energy Committee will debate the issue later this month	the issue	You built your career on prejudice and hate	your career	2
People start their own businesses for many reasons	their own businesses	Higher earnings helped some issues	some issues	3
Shareholders will also receive one cent per share for the redemption of preferred stock purchase rights	one cent per share	The rise of superintendents such as Joseph Fernandez and Ted Kimbrough suggests plainly the process of disintegration in many school systems	the process of disintegration in many school systems	13
The entire opera is her dream	her dream	All three new models are outselling their predecessors by wide margins	their predecessors	6
The Panamanian affair is only the tip of a more alarming iceberg	only the tip of a more alarming iceberg	Estimated volume was a light two million ounces	a light two million ounces	3
It blames most of these on Fatah	most of these	But slow sales forced Ford to kill the brand just last week	the brand	7
But the deal fell apart last week for lack of financing	last week	He confers big trading commissions on Wall Street firms	big trading commissions	2
But junk bonds took more hits	more hits	He expected as much	as much	2
But another big problem has been the aging of baby boomers	the aging of baby boomers	Meritor has headed the list since May	the list	3
Some lagging competitors even may leave the personal computer business altogether	the personal computer business	Tenneco Credit is a unit of Tenneco Inc	a unit of Tenneco Inc	3
At least it has a little dash	a little dash	Their effort has received a lukewarm response from the Justice Department	a lukewarm response	4
He remains chief executive officer	chief executive officer	Big financial stocks carried the day	the day	4
Professionals dominated municipal trading throughout the session	municipal trading	The company also faces delisting by the National Association of Securities Dealers	delisting by the National Association of Securities Dealers	4
But violation could bring substantial tax penalties to both employer and employees	substantial tax penalties	The market drop has now apparently convinced foreign investors that the Treasury was right about the overpriced dollar	foreign investors	7
The reason was not high interest rates or labor costs	high interest rates or labor costs	The plan would impose a brief freeze on physician fees next year	a brief freeze	4
The Polish rat will eat well this winter	this winter	a nun raising some lovable orphans	some lovable orphans	3
Marketing and sales departments then urged abandonment of the pico project	abandonment of the pico project	Kyle manufactures electronic components	electronic components	2
Successful American business owners do the same thing	the same thing	The Maybelline beauty product line had higher sales following a sluggish first half	higher sales	6
The sale of a portion of refining and marketing operations to Saudi Arabia helped alleviate the decline in earnings from that business	the decline in earnings from that business	They do indeed want their own nation	their own nation	4
But its unsentimental sketches of Cairo life are vintage Mahfouz	vintage Mahfouz	There is a small Renoir on the wall	a small Renoir	2
The recent appearance of aflatoxin in such foods as corn and peanut butter has sparked public concern and consumer scrutiny of food handling and storage procedures	public concern and consumer scrutiny of food handling and storage procedures	That brought a chain reaction in the industry	a chain reaction in the industry	2
She expects both revenue and profit to gain this year	this year	And Oranjemund boasts attractions besides diamonds	attractions besides diamonds	3
Now a rocky stock market and weak corporate profits may further threaten the economy	the economy	It should be a scream	a scream	3
By the end of the century scientists had embraced the system	the system	Big withdrawals from the junk funds have continued this month	this month	8
She has lots of opinions	lots of opinions	None of the firms reported any major damage to facilities as a result of the quake	any major damage to facilities as a result of the quake	5
The historical profession will survive these decisions	these decisions	The engine plant may encompass plans for a joint components venture with Jaguar	plans for a joint components venture with Jaguar	5
The company also makes optical character recognition equipment	optical character recognition equipment	The team then proposed modifications in their work process to management	modifications in their work process	4
The small changes in averages reflect generally unchanged yields at many major banks	generally unchanged yields at many major banks	Bonds received a bigger boost later in the day when stock prices moved broadly lower	a bigger boost	2
But the steam may never reach the engine room	the engine room	Yet the state alone sells seeds and machines	seeds and machines	5
Japanese companies have a caveat competitor attitude	a caveat competitor attitude	An official linked the gain essentially to higher prices for beef and pork	the gain	3
Both revenue figures exclude excise taxes	excise taxes	There was no appreciable market impact from the California earthquake	no appreciable market impact from the California earthquake	2
People start their own businesses for many reasons	their own businesses	Las Vegas has seen nothing quite like it before	nothing quite like it	4
Shareholders will also receive one cent per share for the redemption of preferred stock purchase rights	one cent per share	White children empty the wastepaper baskets and squeegee the windows	the wastepaper baskets	3
It also licenses optically based data storage and retrieval devices	optically based data storage and retrieval devices	Your paper needs a serious reality check	a serious reality check	3
Competition and mounting insurance and equipment costs have been the undoing of many resorts	the undoing of many resorts	Red tape is the bugaboo of small business	the bugaboo of small business	3
More carefully targeted intervention might actually reduce the need for government action	the need for government action	It recently introduced a line for the home market	a line for the home market	3
The recent appearance of aflatoxin in such foods as corn and peanut butter has sparked public concern and consumer scrutiny of food handling and storage procedures	public concern and consumer scrutiny of food handling and storage procedures	Marketing and sales departments then urged abandonment of the pico project	abandonment of the pico project	6
Judges Oakes and Leval understand the requirements of historical scholarship	the requirements of historical scholarship	Some business analysts blame the problem on tough competition in the insurance market	the problem	4
Some lagging competitors even may leave the personal computer business altogether	the personal computer business	That has outraged some fans	some fans	3
But they foresee little substantial progress in exports unless the dollar and the federal budget deficit come down	little substantial progress in exports	Parts are a tragedy	a tragedy	2
But violation could bring substantial tax penalties to both employer and employees	substantial tax penalties	Uncertainty dogs every aspect of their lives	every aspect of their lives	2
The two sides also traded accusations about the cost of the Packwood plan	accusations about the cost of the Packwood plan	His theoretical approach and its publication in this venerable paper are no doubt a noteworthy accomplishment for him	no doubt	11
Two segments posted lower earnings for the quarter	lower earnings for the quarter	The antitrust division of the Justice Department is investigating the oddly similar tuition charges and increases among the top schools	the oddly similar tuition charges and increases among the top schools	9
The trial of the case lasted seven months and ended in September with a hung jury	seven months	That would leave Hun Sen and the Khmer Rouge	Hun Sen and the Khmer Rouge	3
Bargain hunters helped stock prices break a weeklong losing streak while bond prices and the dollar inched higher	a weeklong losing streak	It made my shoelaces dance with terror	my shoelaces	2
The company rejected those past proposals	those past proposals	The result is mistrust and criticism from all around	mistrust and criticism from all around	3
Conference committees are breeding grounds for mischief	breeding grounds for mischief	He is negotiating a rich book contract to boot	a rich book contract	3
But sophistication has its limits	its limits	Baskets of roses and potted palms adorned his bench	his bench	7
That has outraged some fans	some fans	Connaught is a biotechnology research and vaccine manufacturing concern	a biotechnology research and vaccine manufacturing concern	2
Pacific First owns Pacific First Federal Savings Banks and other financial services firms	Pacific First Federal Savings Banks and other financial services firms	The company is facing a takeover proposal from the financier Sir James Goldsmith	a takeover proposal from the financier Sir James Goldsmith	4
Morgenzon has long been a special domain of Afrikanerdom	a special domain of Afrikanerdom	He confers big trading commissions on Wall Street firms	big trading commissions	2
He expects Citicorp to take a similar step this year	a similar step	But other rake makers have their doubts	their doubts	5
Other temperature data show similar unexplained swings	similar unexplained swings	The Arabs had merely oil	merely oil	3
Friday capped a week of steadily rising crude oil prices in both futures and spot markets	a week of steadily rising crude oil prices in both futures and spot markets	The above represents a triumph of either apathy or civility	a triumph of either apathy or civility	3
Fear is the father of panic	the father of panic	The network must refund money to the advertisers and loses considerable revenue and prestige	considerable revenue and prestige	10
The challengers will have a big price advantage	a big price advantage	But other rake makers have their doubts	their doubts	5
The precious metals sector outgained other Dow Jones industry groups by a wide margin for the second consecutive session	other Dow Jones industry groups	New Canaan Investments is a closely held investment partnership with interests primarily in the packaging industry	a closely held investment partnership with interests primarily in the packaging industry	4
The states have their own ideas about regulation and certification	their own ideas about regulation and certification	It arrived just as the regulator handling such operations was retiring	such operations	7
Even claims against individuals and companies face significant roadblocks	significant roadblocks	The move reflected the growing confidence of the revamped Supreme Soviet	the growing confidence of the revamped Supreme Soviet	3
Managers of junk funds were bolstering their cash hoards after the September cash crunch at Campeau Corp	their cash hoards	Randy Delchamps retains his position as president	his position as president	3
She expects both revenue and profit to gain this year	this year	He previously held similar responsibilities	similar responsibilities	3
That brought a chain reaction in the industry	a chain reaction in the industry	Many law firms sponsor their own programs	their own programs	4
But the push for cleaner fuels is increasing the attractiveness of natural gas	the attractiveness of natural gas	The dispute pits two groups of claimants against each other	two groups of claimants	3
a nun raising some lovable orphans	some lovable orphans	Recruiter Donald Clark does note an increase in searches for minority candidates	an increase in searches for minority candidates	5
The Dutch utility firm serves the Amsterdam and Utrecht areas	the Amsterdam and Utrecht areas	The trial of the case lasted seven months and ended in September with a hung jury	seven months	6
Commodity futures prices generally reflected the stability of the stock market following its plunge Friday	the stability of the stock market	The main argument for growth stocks is their usually superior performance in a slowing economy	their usually superior performance in a slowing economy	7
The robberies also have set off a controversy involving the airlines	a controversy involving the airlines	The loss of the cigarette account would be a severe blow to Wells Rich	a severe blow to Wells Rich	8
Drug companies lost a major liability case	a major liability case	Telerate provides information about financial markets through an electronic network	information about financial markets	2
One of the two British companies still making hard toilet paper stopped production of it	hard toilet paper	Market Data Retrieval is a compiler of educational information and provides related services	a compiler of educational information	4
Estimated volume was three million ounces	three million ounces	The trial of the case lasted seven months and ended in September with a hung jury	seven months	6
Yet the state alone sells seeds and machines	seeds and machines	Japanese government bonds showed little change	little change	4
Whether she can meet that ambitious goal is still far from certain	that ambitious goal	The doomsayers had a receptive audience	a receptive audience	3
Copper prices fell sharply Friday afternoon	Friday afternoon	It arrived just as the regulator handling such operations was retiring	such operations	7
Bargain hunters helped stock prices break a weeklong losing streak while bond prices and the dollar inched higher	a weeklong losing streak	Panda Motors is one such investment	one such investment	3
Deal stocks led the market down as they absorbed the heaviest losses	the market	He reset opening arguments for today	opening arguments	2
It also lowered some air fares	some air fares	The market drop has now apparently convinced foreign investors that the Treasury was right about the overpriced dollar	foreign investors	7
William Coors is their uncle	their uncle	The other two portions of the deal are remarketings of outstanding debt rather than new issues	remarketings of outstanding debt rather than new issues	8
We had great success in Somalia	great success	There is hope of change	hope of change	2
It seeks unspecified money damages	unspecified money damages	There will be recreation and movie rooms	recreation and movie rooms	3
The key here is the ambition of state Attorney General John Van de Kamp	the ambition of state Attorney General John Van de Kamp	Big financial stocks carried the day	the day	4
That means huge travel bills	huge travel bills	Two election commission members opposed the matching plans	the matching plans	5
But this is almost an underground activity	almost an underground activity	Investors celebrated the second anniversary of Black Monday with a buying spree in both stocks and bonds	the second anniversary of Black Monday	2
Lead underwriter to the issue is Toronto Dominion Securities Inc	Toronto Dominion Securities Inc	It should be a scream	a scream	3
She expects both revenue and profit to gain this year	this year	Red tape is the bugaboo of small business	the bugaboo of small business	3
Fear is the father of panic	the father of panic	Most earn high ratings from credit agencies	high ratings from credit agencies	2
The network must refund money to the advertisers and loses considerable revenue and prestige	considerable revenue and prestige	Soviet companies would face fewer obstacles for exports and could even invest their hard currency abroad	fewer obstacles for exports	4
And Navigation Mixte has a huge hidden attraction	a huge hidden attraction	Estimated volume was three million ounces	three million ounces	3
Late buying gave the Paris Bourse a parachute after its free fall early in the day	the Paris Bourse	But some money managers are doing just that	just that	6
He withdrew the remark	the remark	The film makers have couched this offensive idea in pretty packaging	this offensive idea	5
They did me some good	some good	The worriers cite some worrisome trends	some worrisome trends	3
Reynolds is the third big aluminum company since Friday to report disappointing earnings	disappointing earnings	Union officials have taken a beating politically as a result	a beating	4
Wilfred closed its Massachusetts schools earlier this year	its Massachusetts schools	Silicon Valley heaved a sigh of relief yesterday	a sigh of relief	3
Fannie Mae makes a secondary market in home loans	a secondary market in home loans	There will be recreation and movie rooms	recreation and movie rooms	3
Drug companies lost a major liability case	a major liability case	The engine plant may encompass plans for a joint components venture with Jaguar	plans for a joint components venture with Jaguar	5
The deal would require approval by a majority of Jaguar shareholders	approval by a majority of Jaguar shareholders	One concerns Japanese investors	Japanese investors	2
Mazda makes the Tracer for Ford	the Tracer	The politician appearing is highly controversial and has recently generated a good deal of rancor amid certain groups	a good deal of rancor amid certain groups	10
And the world could experience its first psyllium shortage	its first psyllium shortage	Some machines make charts for presentations	charts for presentations	3
Morgenzon has long been a special domain of Afrikanerdom	a special domain of Afrikanerdom	The company also maintains rechargeable flashlights in offices and changes its standby supply of drinking water every three months	rechargeable flashlights	4
The bank is now aggressively marketing retail services at its domestic branches	retail services	The thrift and the holders had suspended their lawsuits as part of the agreement	their lawsuits	7
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	surprisingly strong margins on those sales	He takes over a school system in the midst of radical reform	a school system in the midst of radical reform	3
The company also makes optical character recognition equipment	optical character recognition equipment	Canadian investment rules require that big foreign takeovers meet that standard	that standard	9
His humility gives him a much better chance of success	a much better chance of success	The British conglomerate cited the recent turmoil in financial markets	the recent turmoil in financial markets	4
Bargain hunters helped stock prices break a weeklong losing streak while bond prices and the dollar inched higher	a weeklong losing streak	The company earns about half its revenue overseas and plans further expansion	about half its revenue	3
He also mentioned increased capital investment by Pacific Bell for network improvements	increased capital investment by Pacific Bell for network improvements	The state of New Hampshire has favored that plan	that plan	7
Opponents show that there are already more funds available than commendable reform efforts	more funds available than commendable reform efforts	Most analysts had expected a sharper decline after the steep rise in August	a sharper decline	4
Red tape is the bugaboo of small business	the bugaboo of small business	Paintings are just part of the picture	just part of the picture	2
But there is no solid evidence that the Khmer Rouge have changed	no solid evidence that the Khmer Rouge have changed	Some current rates exceed those on CDs	those on CDs	4
Blue chips led the march up in heavy trading	the march up	Ashland expects that sale to be complete next year	next year	7
The rise matches that of the Dow Jones industrials this year	that of the Dow Jones industrials this year	They did me some good	some good	3
But the shaky economic outlook and the volatile stock market forced the dollar lower against major currencies	the dollar	Other major players in intimate apparel apparently feel the same way	the same way	8
it defended appropriate constitutional safeguards and practical common sense	appropriate constitutional safeguards and practical common sense	But sophistication has its limits	its limits	3
Aer Rianta already has so many ventures with Aeroflot that its chief executive is studying Russian	so many ventures with Aeroflot that its chief executive is studying Russian	Concord is a camera and photographic products company	a camera and photographic products company	2
Their verdict on real estate is almost the same	the same	More carefully targeted intervention might actually reduce the need for government action	the need for government action	7
Details and Camden are essential Florio	essential Florio	He remains chief executive officer	chief executive officer	2
The airline also named Mickey Foret as president	Mickey Foret	Investors with a heavy tax load should take out their calculators	their calculators	9
Big financial stocks carried the day	the day	She had an idea	an idea	2
None of the firms reported any major damage to facilities as a result of the quake	any major damage to facilities as a result of the quake	Most analysts had expected a sharper decline after the steep rise in August	a sharper decline	4
Geraldo or Phil would probably pull up another camera and interview the chained protesters	another camera	They did themselves even more good	even more good	3
There were many more	many more	The pilots argued that this triggered a pay raise for them	a pay raise for them	6
And they are a very odd team in any case	a very odd team	The charges said that one worker suffered permanent brain damage from mercury exposure	permanent brain damage	7
Bonds received a bigger boost later in the day when stock prices moved broadly lower	a bigger boost	But the new lens became the eye of a storm	the eye of a storm	5
This is New York City	New York City	The main argument for growth stocks is their usually superior performance in a slowing economy	their usually superior performance in a slowing economy	7
One could imagine such a lull in the lives of the Arabs before the quadrupling of oil prices	such a lull in the lives of the Arabs	The engine plant may encompass plans for a joint components venture with Jaguar	plans for a joint components venture with Jaguar	5
Digital is promising a new approach	a new approach	The agreement ended a long impasse between the congressional leaders and the White House over the wage issue	a long impasse between the congressional leaders and the White House over the wage issue	3
They used their judgment	their judgment	Rolled copper product sales were major contributors to overall sales growth	major contributors to overall sales growth	5
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	surprisingly strong margins on those sales	Creative accounting is a hallmark of federal credit	a hallmark of federal credit	3
Details and Camden are essential Florio	essential Florio	Geraldo or Phil would probably pull up another camera and interview the chained protesters	another camera	7
The ambitious Warsaw project still awaits approval by city officials	approval by city officials	That means huge travel bills	huge travel bills	2
Both are mining concerns	mining concerns	It is also planning another night of original series	another night of original series	4
The trial of the case lasted seven months and ended in September with a hung jury	seven months	The result is mistrust and criticism from all around	mistrust and criticism from all around	3
They promised yet more for really good stuff	yet more for really good stuff	He no longer crowds the plate	the plate	4
Blue chips led the march up in heavy trading	the march up	The association between the two companies stretches back thirty years to a friendship between television producer Mark Goodson and Ingersoll founder Ralph Ingersoll	thirty years	8
Only now is it undergoing a badly needed facelift	a badly needed facelift	The screen was a sea of red	a sea of red	3
Economists expected twice as large an increase	twice as large an increase	Mervin Lung remains chairman and chief executive officer	chairman and chief executive officer	3
Soon she was running the office	the office	Panda Motors is one such investment	one such investment	3
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	surprisingly strong margins on those sales	That means huge travel bills	huge travel bills	2
The Communications Workers of America ratified a new regional contract and all but one of the local agreements with Bell Atlantic Corp	a new regional contract and all but one of the local agreements with Bell Atlantic Corp	And Oranjemund boasts attractions besides diamonds	attractions besides diamonds	3
One big problem has been the thoroughbred racehorse market	the thoroughbred racehorse market	But other rake makers have their doubts	their doubts	5
Both companies are regional carriers in the Southwest	regional carriers in the Southwest	He no longer crowds the plate	the plate	4
These are curious times in South African politics	curious times in South African politics	Deal stocks led the market down as they absorbed the heaviest losses	the market	3
But there were no buyers	no buyers	Liquidity is not a service	a service	3
And she has this inexhaustible energy	this inexhaustible energy	The incident occurred Saturday night	Saturday night	3
Not even all the brokerage firms see clear sailing ahead	clear sailing	All three funds posted negative returns for the year to date	negative returns for the year to date	4
The rise matches that of the Dow Jones industrials this year	that of the Dow Jones industrials this year	He has designed furniture and homes as well as commercial and office space	furniture and homes as well as commercial and office space	3
The revival of the real estate mortgage investment conduit market reflected the relative calm in the mortgage market after two days of volatile trading	the relative calm in the mortgage market after two days of volatile trading	Morgenzon has long been a special domain of Afrikanerdom	a special domain of Afrikanerdom	4
The move reflected the growing confidence of the revamped Supreme Soviet	the growing confidence of the revamped Supreme Soviet	Hanson is a London producer of consumer and other goods	a London producer of consumer and other goods	2
Many fund managers have boosted their cash levels in recent weeks	their cash levels	The chimney is a pile of bricks on the front lawn	a pile of bricks on the front lawn	3
The company also reassigned several executive responsibilities	several executive responsibilities	The incident occurred Saturday night	Saturday night	3
Scientists also are exploring memory and perception with the new machines	memory and perception	The move will cut out the cost of a middleman and give Specialized more control over marketing and sales	the cost of a middleman	5
The company also reassigned several executive responsibilities	several executive responsibilities	But it may have a good listener in Washington	a good listener	4
The key here is the ambition of state Attorney General John Van de Kamp	the ambition of state Attorney General John Van de Kamp	It is a peaceful time in this part of western India	a peaceful time	2
The spinoff should solve a problem for the parent	a problem	The merchant bank also announced that finance director David Eward is taking early retirement for personal reasons	early retirement	12
Shareholders will also receive one cent per share for the redemption of preferred stock purchase rights	one cent per share	Morgenzon has long been a special domain of Afrikanerdom	a special domain of Afrikanerdom	4
Opponents show that there are already more funds available than commendable reform efforts	more funds available than commendable reform efforts	That structural lack is crucial because investors are the only source of market liquidity	the only source of market liquidity	8
James Earl Jones and Mario Van Peebles carry out a bitter intergenerational dialogue between two black men	a bitter intergenerational dialogue between two black men	The measure also includes spending cuts and increases in federal fees	spending cuts and increases in federal fees	4
Red tape is the bugaboo of small business	the bugaboo of small business	Slowing economies in some areas limit student choice	student choice	6
He again urged passage of a constitutional amendment outlawing abortion	passage of a constitutional amendment outlawing abortion	Children from the community will have worthier role models than the drug kingpins	worthier role models than the drug kingpins	6
The plan lacked a withdrawal timetable	a withdrawal timetable	William Coors is their uncle	their uncle	3
And they are a very odd team in any case	a very odd team	That would leave Hun Sen and the Khmer Rouge	Hun Sen and the Khmer Rouge	3
Some components of the American church had their budgets cut in half last year and again this year	last year and again this year	The dispute pits two groups of claimants against each other	two groups of claimants	3
Chicago has the largest population of citizens of Polish heritage in any city outside Poland	the largest population of citizens of Polish heritage in any city outside Poland	But this is almost an underground activity	almost an underground activity	3
Logic plays a minimal role here	a minimal role	Nausea seems a commonplace symptom	a commonplace symptom	2
There was no appreciable market impact from the California earthquake	no appreciable market impact from the California earthquake	Other money managers also opened their wallets	their wallets	5
Every major maker offers computers with color displays	computers with color displays	Big financial stocks carried the day	the day	4
There is hope of change	hope of change	The Vatican was in the red last year	last year	6
The loss of the cigarette account would be a severe blow to Wells Rich	a severe blow to Wells Rich	British government bonds surged on renewed volatility in the stock market	renewed volatility in the stock market	5
Civil suits against planners by clients seeking recovery of funds are increasingly common	recovery of funds	Cases in Los Angeles County involving dependent children are usually heard in the Criminal Courts Building	dependent children	6
The association said that lack of airport and air space capacity is the biggest problem facing the airline industry	the biggest problem facing the airline industry	The bill also elevates even minor rule infractions to felonies and provides for recovery of punitive damages in civil lawsuits and arbitration cases without any showing of willful misconduct	even minor rule infractions	4
